class_id,precision,recall,f1_score
1,0.973799126637555,0.978070175438597,0.975929978118162
2,0.866412213740458,0.995614035087719,0.926530612244898
3,1,0.842105263157895,0.914285714285714
4,1,0.973684210526316,0.986666666666667
5,0.981566820276498,0.934210526315789,0.957303370786517
6,0.973333333333333,0.960526315789474,0.966887417218543
7,0.974358974358974,1,0.987012987012987
8,0.995575221238938,0.986842105263158,0.991189427312775
9,0.945147679324895,0.982456140350877,0.963440860215054
10,0.966101694915254,1,0.982758620689655
