feature_idx,mean_val,std_val,var_val,min_val,max_val,f_stat
1,3.96408052581951e-15,0.999890344865069,0.999780701754386,-6.88517776017931,4.28658965426412,751.926341087672
2,-8.72596342161527e-17,0.999890344865069,0.999780701754387,-2.14275154903867,3.66908739317198,1146.60900250436
3,3.24107212802853e-16,0.999890344865069,0.999780701754386,-6.00371425181314,4.16775997019535,907.840915677153
4,2.86710226710216e-16,0.999890344865069,0.999780701754386,-1.32443768364779,2.52073500393241,35474.3668798376
5,7.47939721852737e-16,0.999890344865069,0.999780701754386,-1.29091490081456,5.50653612475758,1073.692912415
6,-1.75765834635393e-15,0.999890344865069,0.999780701754386,-2.25695990328128,3.38593895997693,1478.90069391287
7,-5.23557805296916e-16,0.999890344865069,0.999780701754386,-2.35717826505061,3.96211807788316,6222.14558093854
8,1.98204026290975e-15,0.999890344865069,0.999780701754387,-2.27794324489575,5.76510161502194,567.373885122498
9,-2.24381916555821e-16,0.999890344865069,0.999780701754386,-1.54588990561677,5.67677320587782,4839.22392615095
10,6.23283101543948e-18,0.999890344865068,0.999780701754386,-4.20072849720091,4.06457336182006,23.0112480270841
11,2.10669688321854e-15,0.999890344865069,0.999780701754386,-2.18904472957392,5.00692970691025,340.016418007651
12,-2.79230829491688e-15,0.999890344865069,0.999780701754386,-1.98924696351342,5.08041043441988,203.354923941516
13,4.98626481235158e-17,0.999890344865069,0.999780701754387,-5.45249633994382,5.80903231737642,117.509656437514
14,-2.49313240617579e-15,0.999890344865069,0.999780701754386,-1.65772461387745,3.24224157925341,1891.03542258801
15,-6.73145749667463e-16,0.999890344865069,0.999780701754387,-1.6832182633563,3.22544464888628,1796.73992601056
16,2.18149085540382e-17,0.999890344865069,0.999780701754387,-5.12242515280737,6.46133574631954,18.0947829525402
17,-1.19670355496438e-15,0.999890344865069,0.999780701754386,-2.13918531600118,4.38994771314831,404.04294492401
18,-1.69533003619954e-15,0.999890344865069,0.999780701754386,-2.13523501485037,4.39630795067569,411.265614147044
19,-4.68708892361049e-15,0.999890344865069,0.999780701754386,-1.46332946652885,5.41319569656906,529.29866941649
20,-2.13786103829574e-15,0.999890344865069,0.999780701754386,-2.72193186012285,3.39026875029781,1041.19822997423
21,1.74519268432305e-16,0.999890344865069,0.999780701754386,-1.6326795271114,5.26981947267654,611.495907514724
22,-4.68708892361049e-15,0.999890344865069,0.999780701754386,-1.46332946652885,5.41319569656906,529.29866941649
23,-2.41833843399052e-15,0.999890344865069,0.999780701754386,-2.80576542381141,4.01864390980207,397.244298690098
24,8.22733694038011e-16,0.999890344865068,0.999780701754386,-2.34072269174839,3.81803760185011,317.132188219716
25,2.49313240617579e-16,0.999890344865068,0.999780701754386,-2.6234884607449,4.00045592102034,382.172245352011
26,-1.86984930463184e-16,0.999890344865069,0.999780701754387,-1.6101454076954,2.05470296965751,4378.12977916956
27,3.11641550771974e-16,0.999890344865069,0.999780701754386,-4.5386678497383,1.88410585495486,446.341088627791
28,0,0.999890344865069,0.999780701754386,-1.06378626620124,2.11055914114264,3473.86592597801
29,9.34924652315921e-18,0.999890344865069,0.999780701754387,-2.40855554793694,2.46029577595828,571.234633511193
30,1.77635683940025e-16,0.999890344865069,0.999780701754386,-3.02260347694614,1.93655618975136,824.635806289246
31,-2.74244564679337e-16,0.999890344865068,0.999780701754384,-2.18367153146599,0.780035833425235,1022.19080831284
32,-1.01532817241509e-14,0.999890344865068,0.999780701754385,-8.43038531623367,2.00816401839191,113.852176200429
33,2.34915400971914e-14,0.999890344865068,0.999780701754385,-7.52366280074605,1.95505364554476,75.6154353877835
